PAYGRADE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
W-3,4261.2,4438.5,4620.9,4680.3,4680.3,4870.8,4870.8,5246.4,5246.4,5637.3,5637.3,5821.5,5821.5,6034.8,6034.8,6253.8,6253.8,6648.9,6648.9,6915.0,6915.0,7074.3,7074.3,7243.5,7243.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5,7474.5
W-2,3770.4,4127.1,4236.6,4312.2,4312.2,4556.4,4556.4,4936.5,4936.5,5125.2,5125.2,5310.3,5310.3,5537.1,5537.1,5714.4,5714.4,5874.6,5874.6,6066.9,6066.9,6193.2,6193.2,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1,6293.1
W-1,3309.3,3666.0,3761.4,3963.9,3963.9,4203.0,4203.0,4555.8,4555.8,4720.2,4720.2,4950.9,4950.9,5177.4,5177.4,5355.6,5355.6,5519.4,5519.4,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6,5718.6
E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5637.0,5637.0,5764.8,5764.8,5925.9,5925.9,6114.9,6114.9,6306.6,6306.6,6612.0,6612.0,6871.5,6871.5,7143.3,7143.3,7560.3,7560.3,7560.3,7560.3,7937.7,7937.7,7937.7,7937.7,8334.9,8334.9,8334.9,8334.9,8752.5,8752.5,8752.5
E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4614.6,4614.6,4818.6,4818.6,4944.9,4944.9,5096.1,5096.1,5260.5,5260.5,5556.3,5556.3,5706.3,5706.3,5961.6,5961.6,6103.5,6103.5,6451.8,6451.8,6451.8,6451.8,6581.4,6581.4,6581.4,6581.4,6581.4,6581.4,6581.4,6581.4,6581.4,6581.4,6581.4
E-7,3207.6,3501.0,3635.4,3812.4,3812.4,3951.3,3951.3,4189.5,4189.5,4323.9,4323.9,4561.8,4561.8,4760.1,4760.1,4895.1,4895.1,5039.1,5039.1,5094.9,5094.9,5282.4,5282.4,5382.9,5382.9,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4,5765.4
E-6,2774.4,3053.1,3188.1,3318.9,3318.9,3455.4,3455.4,3762.6,3762.6,3882.9,3882.9,4114.5,4114.5,4185.3,4185.3,4236.9,4236.9,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2,4297.2
E-5,2541.6,2712.9,2844.0,2978.1,2978.1,3187.2,3187.2,3405.6,3405.6,3585.3,3585.3,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9,3606.9
E-4,2330.4,2449.8,2582.4,2713.5,2713.5,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0
E-3,2103.9,2236.2,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8,2371.8
E-2,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7,2000.7
E-1,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0,1785.0
E-1,1650.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
